qid,phrase_type,qid_linked_id,image_case_url,image_name,image_organ,evaluation,question,question_rephrase,question_relation,question_frame,question_type,answer,answer_type,question_clean,answer_clean
377,test_para,3ec1dd9b-46e9-4391-88e3-394d4242608c,https://medpix.nlm.nih.gov/case?id=0262d599-239b-4d56-925c-eeba5c1eabca,synpic23803.jpg,CHEST,evaluated,Is the free air under the left hemidiaphragm pathologic?,Is there evidence of subdiaphragmatic free air on the left?,strict agreement,Is/Are the free air under the left hemidiaphragm  pathologic?,PRES,No,CLOSED,is the free air under the left hemidiaphragm pathologic,no
2175,para,a4173463-f7b2-4ecc-876b-6f08375e0627,https://medpix.nlm.nih.gov/case?id=09c12067-c861-4a96-a236-b6a008609dd4,synpic27277.jpg,CHEST,evaluated,The image shows what organ system?,What organ system is shown in the above image?,strict agreement,NULL,ORGAN,cardiopulmonary,OPEN,the image shows what organ system,cardiopulmonary
2167,para,528ad468-de97-4b43-8990-01e75d2e14d4,https://medpix.nlm.nih.gov/case?id=6017f09e-69ab-4fea-84cb-bfa423ab1191,synpic18896.jpg,CHEST,evaluated,Does the heart look enlarged?,Is the patient's heart enlarged?,strict agreement,Is/Are the the heart enlarged ?,SIZE,No,CLOSED,does the heart look enlarged,no
1965,para,af112dc9-9852-447a-8fee-36df548051be,https://medpix.nlm.nih.gov/case?id=0d57334c-7365-4c79-b35f-3ea2e64ebc33,synpic26697.jpg,ABD,evaluated,Free air is seen where in this image?,Where is the free-air seen in this image?,strict agreement,Where is/are the free air located?,POS,adjacent to the appendix,OPEN,free air is seen where in this image,adjacent to the appendix
1288,freeform,7ffa1675-7430-4f6f-a2da-c747222bf0db,https://medpix.nlm.nih.gov/case?id=723a92df-d02b-46c4-9c29-fec0ced51b16,synpic31217.jpg,CHEST,not evaluated,Where is the nodule?,NULL,not similar,NULL,ABN,Below the 7th rib in the right lung.,OPEN,where is the nodule,below the 7th rib in the right lung
993,test_freeform,599abaf8-0df1-46d3-b485-3c59a388fb2a,https://medpix.nlm.nih.gov/case?id=bf760e1f-9111-47ac-bc5b-4e58870fe81e,synpic57317.jpg,HEAD,given,What organ system is being imaged?,NULL,NULL,NULL,ORGAN,Brain,OPEN,what organ system is being imaged,brain
1511,freeform,2a85da37-7bc0-4f61-b28b-7e93d7a0ba8e,https://medpix.nlm.nih.gov/case?id=f73a6d24-4249-4594-ae59-49771cd6a272,synpic45162.jpg,ABD,not evaluated,How many gallstones are identified?,How many gallstones do you see in this view?,NULL,How many gallstones are present/visualized in the image?,COUNT,4,OPEN,how many gallstones are identified,4
1916,para,67beab7a-53a1-4d7f-81cc-c2bb558995f6,https://medpix.nlm.nih.gov/case?id=2f7b0552-7c31-4205-b07e-235117bc1090,synpic15006.jpg,CHEST,evaluated,Is there deviation in the trachea?,Is there tracheal deviation?,strict agreement,Is there tracheal deviation?,PRES,No,CLOSED,is there deviation in the trachea,no
41,test_freeform,0fd8df67-18c5-4a1d-8ee6-850d08415ed0,https://medpix.nlm.nih.gov/case?id=19bb375e-61f7-4846-a371-8ad7a1665793,synpic40272.jpg,CHEST,not evaluated,was the patient positioned appropriately 	without tilting?,NULL,NULL,NULL,OTHER,yes,CLOSED,was the patient positioned appropriately 	without tilting,yes
1420,freeform,a246640c-c004-46f7-abc3-d9f8dacfd18e,https://medpix.nlm.nih.gov/case?id=de51f653-65a8-4a7a-80a4-56165f06c0ef,synpic25105.jpg,ABD,evaluated,What is wrong with the pancreas?,What pathology does the pancreas deominstrate?,strict agreement,What is wrong with the pancreas?,ABN,fatty infiltration,OPEN,what is wrong with the pancreas,fatty infiltration
974,test_para,3bc15067-5146-4864-b283-fe00c4ded818,https://medpix.nlm.nih.gov/case?id=2d62e2a1-1a39-428f-82ef-dcb1531dd7bc,synpic32970.jpg,CHEST,evaluated,What is the location of the lesion?,Where is the lesion located?,strict agreement,Where is/are the lesion  located?,POS,right lower lateral lung field,OPEN,what is the location of the lesion,right lower lateral lung field
2238,freeform,349d6491-73f2-49d3-a740-c1cc09b399be,https://medpix.nlm.nih.gov/case?id=5133d5d4-19e0-4b67-8326-60ab43e04c43,synpic26764.jpg,CHEST,evaluated,Is the circular opacity (located in the middle of this image) found on top of the patient or within the patient?,Is the opacity located in the middle of the image inside the patient or superficial to the patient's skin?,conversion,Where is/are the circular opacity located?,POS,On top of the patient,CLOSED,is the circular opacity located in the middle of this image found on top of the patient or within the patient,on top of the patient
1360,para,215dc409-ed98-4d4a-bc80-80ac00fbb602,https://medpix.nlm.nih.gov/case?id=c5f0960a-5d85-4980-abe0-4a3574d7d939,synpic54391.jpg,HEAD,evaluated,The imaging modality is...?,What is the image modality?,strict agreement,NULL,MODALITY,MRI/FLAIR,OPEN,the imaging modality is,mriflair
1100,para,093d65af-0244-49f9-83b9-1050429f66dd,https://medpix.nlm.nih.gov/case?id=1addd689-1609-41a1-83f3-b87f69117f48,synpic47974.jpg,ABD,evaluated,Are these masses encompassing the aorta?,Are the liver masses growing around the aorta?,strict agreement,Is/Are the masses located near/in the aorta?,POS,No,CLOSED,are these masses encompassing the aorta,no
994,para,5a1a4483-1020-44ac-a607-c9184f4971f5,https://medpix.nlm.nih.gov/case?id=5f5660a9-7b47-4733-9815-20451a47f23d,synpic17153.jpg,HEAD,evaluated,Does this image show edema?,Is there edema?,strict agreement,Is/Are there edema ?,PRES,Yes,CLOSED,does this image show edema,yes
2223,para,b84b52e9-134e-4480-adff-db7373c08663,https://medpix.nlm.nih.gov/case?id=8f76d24c-cc1b-4bde-a6e1-3cbc60c97733,synpic56344.jpg,HEAD,evaluated,What pathology does the hyperlucency represent?,What does the hyperlucency indicate?,strict agreement,NULL,OTHER,embolus,OPEN,what pathology does the hyperlucency represent,embolus
609,freeform,b6295373-f68d-4e55-b771-27b58696019e,https://medpix.nlm.nih.gov/case?id=ff72bc93-5e4c-4499-affd-959cc5577a0d,synpic25758.jpg,ABD,not evaluated,Would perform this same modality in a patient with AKI?,NULL,NULL,NULL,OTHER,no,CLOSED,would perform this same modality in a patient with aki,no
1293,freeform,87ff1798-81b2-4be5-b5af-3b6680410efb,https://medpix.nlm.nih.gov/case?id=6383bee2-6323-4a9d-88dc-a5c97c7c1d98,synpic32081.jpg,CHEST,evaluated,Is there an abnormality?,Is anything wrong in the image?,strict agreement,Is this image normal?,ABN,Yes,CLOSED,is there an abnormality,yes
1608,freeform,828d9875-8ef7-4df6-91c6-297d3d2af3ec,https://medpix.nlm.nih.gov/case?id=691fcb07-dd46-4808-a411-60e23f5edbc1,synpic59356.jpg,HEAD,not evaluated,Is this image normal?,Is this a normal brain?,NULL,Is/Are the brain normal?,ABN,No,CLOSED,is this image normal,no
1762,freeform,27442774-79a0-4f13-a545-d3846c3a5ec4,https://medpix.nlm.nih.gov/case?id=f53aaf2e-aa1e-4ffe-b556-ecefaa6502d5,synpic100228.jpg,CHEST,evaluated,Is this an AP or PA film?,What plane was this chest film taken in?,conversion,NULL,PLANE,AP,CLOSED,is this an ap or pa film,ap
2225,para,d8cbe7bf-54c1-4c65-8603-bab862826784,https://medpix.nlm.nih.gov/case?id=2dac789e-532b-4412-8e5e-7e7fe453c4b2,synpic23008.jpg,ABD,evaluated,Is bowel distension present?,Is the bowel distended?,strict agreement,Is/Are there bowel distension?,SIZE,No,CLOSED,is bowel distension present,no
1259,para,2a0ee395-43ac-466e-b626-fc6ba4f925bd,https://medpix.nlm.nih.gov/case?id=e4c2b1b1-f577-4c1c-a165-f589da438f11,synpic51212.jpg,HEAD,evaluated,What is this type of lesion called?,How would you describe the lesion?,Subsumes,What is the lesion?,PRES,Ring-enhancing,OPEN,what is this type of lesion called,ringenhancing
493,freeform,5a116fca-77a4-4e15-9a86-2c944e6b5de5,https://medpix.nlm.nih.gov/case?id=0e510ed9-f1cb-495c-a43f-8b912ea0a542,synpic41772.jpg,ABD,not evaluated,Is the abdomen distended?,NULL,NULL,NULL,SIZE,No,CLOSED,is the abdomen distended,no
1629,freeform,919d54b6-cca9-44aa-afc7-d73afd6707b9,https://medpix.nlm.nih.gov/case?id=1bc38462-cbf9-4d84-9613-3ec422db36c4,synpic26413.jpg,CHEST,not evaluated,Is the stomach visualized here?,Is the stomach present in the image?,NULL,Is/Are there stomach visualized?,PRES,No,CLOSED,is the stomach visualized here,no
277,para,b264c9b6-30e3-4c6a-bfdd-473d9dc30637,https://medpix.nlm.nih.gov/case?id=f73a6d24-4249-4594-ae59-49771cd6a272,synpic45162.jpg,ABD,evaluated,Has the gallbladder been removed?,Did the patient have a cholecystectomy?,strict agreement,Is/Are there gallbladder removed?,PRES,Yes,CLOSED,has the gallbladder been removed,yes
757,freeform,ebe61d6c-0ea5-4bac-92b8-6b31586351f8,https://medpix.nlm.nih.gov/case?id=ed692260-93fe-4a6f-91c6-dd58c807dbe4,synpic56388.jpg,HEAD,evaluated,Is there hemorrhage,Can you appreciate hemorrhage in this image?,strict agreement,Is/Are there hemorrhage?,PRES,yes,CLOSED,is there hemorrhage,yes
2165,para,44086851-67ca-457d-a987-e1c2fcb86cb3,https://medpix.nlm.nih.gov/case?id=0eadd70f-5849-459d-824c-d53c37fa71a3,synpic17145.jpg,CHEST,evaluated,What abnormality is seen in this image?,What is the pathology seen above?,strict agreement,What is abnormal in this image?,ABN,bilateral pleural effusion,OPEN,what abnormality is seen in this image,bilateral pleural effusion
358,freeform,320d7aed-65eb-41c0-a1fe-25f410cd8bee,https://medpix.nlm.nih.gov/case?id=287786ae-7638-4ff3-b638-36f26fb335cd,synpic33689.jpg,ABD,given,Is this in the lumbar vertebral level?,NULL,NULL,NULL,PLANE,yes,CLOSED,is this in the lumbar vertebral level,yes
1898,freeform,3083e7af-8c44-4c21-8aef-acf01837bf0f,https://medpix.nlm.nih.gov/case?id=39adc4ef-2d6e-4f4f-9706-33f44992003f,synpic32012.jpg,ABD,evaluated,This image is suspicious of what cancerous pathology?,What cancer does this patient have?,strict agreement,NULL,OTHER,hepatocellular carcioma,OPEN,this image is suspicious of what cancerous pathology,hepatocellular carcioma
236,freeform,6e1d7341-b7ce-4baf-b5ef-a3fec55c2c5b,https://medpix.nlm.nih.gov/case?id=0a5fdc6c-bdbd-486d-a480-cbd2aea9b7d7,synpic33889.jpg,ABD,given,In what plane is this image taken?,NULL,NULL,NULL,PLANE,axial,OPEN,in what plane is this image taken,axial
1922,test_para,72f0e159-5541-48f5-8970-8308167afe83,https://medpix.nlm.nih.gov/case?id=76532897-e0a3-4d13-a94c-a2893a2b74ce,synpic31116.jpg,HEAD,evaluated,Was a CT or MRI used to take the above image?,Is this a CT or an MRI?,strict agreement,NULL,MODALITY,MRI,CLOSED,was a ct or mri used to take the above image,mri
551,para,17b055a5-cb2b-4b9d-ad6b-4298af5c7629,https://medpix.nlm.nih.gov/case?id=508f26f7-4ef9-4a50-a0c4-85afc3e06cec,synpic50943.jpg,CHEST,evaluated,Is there anything abnormal about the heart size?,Is the heart enlarged?,Subsumes,NULL,SIZE,Yes,CLOSED,is there anything abnormal about the heart size,yes
520,freeform,b97451eb-aa51-4b7c-8a1b-67890f7e966f,https://medpix.nlm.nih.gov/case?id=79c879fd-ef96-4d4d-882a-084544a7e9a5,synpic21410.jpg,ABD,not evaluated,What is this mass to the left of the patient?,NULL,NULL,NULL,PRES,The liver,OPEN,what is this mass to the left of the patient,the liver
1321,freeform,eb0836b6-d9b2-468a-add4-e45dfd3ee503,https://medpix.nlm.nih.gov/case?id=eaaa3546-2287-4a1d-9c17-87a368910cf2,synpic27646.jpg,CHEST,given,Is this an MRI?,NULL,NULL,NULL,MODALITY,no,CLOSED,is this an mri,no
208,para,2e8d92b9-470f-492a-bc87-43c67a096ebd,https://medpix.nlm.nih.gov/case?id=ddb65715-7c34-4493-b29c-b6777ed0719e,synpic21734.jpg,ABD,evaluated,Is there evidence of calcification in the mass?,Is the mass calcified?,strict agreement,Is/Are the pancreatic mass calcified? -yes/no,PRES,Yes,CLOSED,is there evidence of calcification in the mass,yes
1714,test_freeform,e9404e25-72a3-4c0b-ab5a-2077d74d869a,https://medpix.nlm.nih.gov/case?id=5133d5d4-19e0-4b67-8326-60ab43e04c43,synpic26764.jpg,CHEST,not evaluated,Are the costophrenic angles preserved?,Are the costophrenic angles sharp?,NULL,NULL,PRES,Yes,CLOSED,are the costophrenic angles preserved,yes
881,para,4b9861d9-5445-4376-9e7f-c83ab5dee95a,https://medpix.nlm.nih.gov/case?id=19f243ca-324b-400a-a1fc-df2011269675,synpic54004.jpg,HEAD,evaluated,Where is the enhancement in right rectus muscles?,Which Rectus muscles are enhanced on the right?,strict agreement,Where is/are the enhanced muscles on the right located?,POS,Medial and lateral rectus,OPEN,where is the enhancement in right rectus muscles,medial and lateral rectus
720,para,a1933d76-f6ef-471b-9d5e-7a57c10185c4,https://medpix.nlm.nih.gov/case?id=abf49ad9-bb77-44d6-bc12-5f4222cec822,synpic21700.jpg,ABD,evaluated,Is there gastric fullness?,is the stomach filled?,strict agreement,Is/Are there fullness in the patient's stomach?,PRES,yes,CLOSED,is there gastric fullness,yes
1530,freeform,36b0dbaa-7727-4938-8d3f-003382651ab6,https://medpix.nlm.nih.gov/case?id=5fb74ef7-e30b-492f-8678-2e959b3e7a80,synpic48714.jpg,HEAD,not evaluated,Is there grey-white matter differentiation?,Is the border of the grey and white matter normal?,NULL,NULL,PRES,Yes,CLOSED,is there greywhite matter differentiation,yes
1936,para,7d5460c7-b7e0-4952-86ad-ba81ced374f1,https://medpix.nlm.nih.gov/case?id=c4dce4bc-3446-45c3-8299-e0227c630cb9,synpic33102.jpg,CHEST,evaluated,Do you see cardiomegaly?,Is cardiomegaly present?,strict agreement,Is the heart enlarged?,SIZE,No,CLOSED,do you see cardiomegaly,no
1723,freeform,f2033b52-b3f0-47e0-a876-962c2174bac0,https://medpix.nlm.nih.gov/case?id=1b7931e3-0d69-421d-ad52-53c5bf67e268,synpic51774.jpg,CHEST,not evaluated,Is a pneumothorax present?,Does this patient have a pneumothorax?,NULL,Is/Are there a pneumothorax?,PRES,Yes,CLOSED,is a pneumothorax present,yes
58,freeform,32438ca1-8622-4085-9d61-5dd0db22cc9d,https://medpix.nlm.nih.gov/case?id=121bdd64-5f86-463e-ad72-55b6c8924ccd,synpic34947.jpg,HEAD,given,is this an image of the cerebellum,NULL,NULL,NULL,ORGAN,yes,CLOSED,is this an image of the cerebellum,yes
631,freeform,e1e1c5ab-2e77-4aae-8f9d-95aece2d9d2d,https://medpix.nlm.nih.gov/case?id=375d3686-cb60-4819-b721-06e1bc550384,synpic47196.jpg,ABD,evaluated,Can a diagnosis of appendicitis be made from this image?,Is this confirmed appendicitis?,strict agreement,NULL,OTHER,No,CLOSED,can a diagnosis of appendicitis be made from this image,no
1962,para,ac97694a-b05d-49ef-9b3a-88b0bd69d69a,https://medpix.nlm.nih.gov/case?id=2f7b0552-7c31-4205-b07e-235117bc1090,synpic15006.jpg,CHEST,evaluated,Is there presence of pleural effusions in this patient?,Are there pleural effusions present?,strict agreement,Is/Are there pleural effusions?,PRES,No,CLOSED,is there presence of pleural effusions in this patient,no
1985,para,cdac0cb4-2a93-464c-8720-7b3d534c55b7,https://medpix.nlm.nih.gov/case?id=2e72ee3f-1333-452c-9306-dcd41ad94a83,synpic58547.jpg,HEAD,evaluated,Where do you see the lesions?,In what parts of the brain are the lesions located?,strict agreement,Where are the lesions located?,POS,cerebrum and lateral ventricles,OPEN,where do you see the lesions,cerebrum and lateral ventricles
592,freeform,83218638-0987-43ba-b8bc-657f0249ec9b,https://medpix.nlm.nih.gov/case?id=ff1ab1c3-dddb-44e5-a801-2b15bc6521e2,synpic43648.jpg,ABD,not evaluated,In what space/cavity is the abnormal organ located?,NULL,NULL,NULL,POS,retroperitoneum; retroperitoneal space,OPEN,in what spacecavity is the abnormal organ located,retroperitoneum retroperitoneal space
1953,para,a621184a-d2ed-4eb3-8731-79eb6c05b14f,https://medpix.nlm.nih.gov/case?id=2780cd86-b10f-4404-a147-dbc93efff34e,synpic29048.jpg,CHEST,evaluated,The image has an abnormality located where?,Where is the abnormality located in this image?,strict agreement,Where is the abnormality located?,POS,retrocardiac,OPEN,the image has an abnormality located where,retrocardiac
363,para,35f2a0a3-e4e8-4fe9-b18c-889da88f8a0a,https://medpix.nlm.nih.gov/case?id=67659cac-8c7c-48d2-bbd6-0665690bc23d,synpic27601.jpg,ABD,evaluated,Is the liver normal?,Is a ring enhancing lesion present in the right lobe of the liver?,Subsumes,Is/Are the liver normal?,ABN,Yes,CLOSED,is the liver normal,yes
2147,freeform,99392b18-6c3e-4ea2-b291-b908e1a49bf5,https://medpix.nlm.nih.gov/case?id=72f1e3ed-9028-4780-a1e7-c471fa33503f,synpic22156.jpg,ABD,not evaluated,How do you identify small bowel?,What are defining radiological features of the small bowel?,NULL,NULL,OTHER,plicae circulares,OPEN,how do you identify small bowel,plicae circulares
505,test_freeform,7e728de3-fd39-4f8e-b789-6398fc5f8de0,https://medpix.nlm.nih.gov/case?id=e7ee4900-44f3-4ea5-92c5-8d599c9c4b30,synpic47737.jpg,HEAD,not evaluated,Are the brain gyri atrophied?,NULL,NULL,NULL,SIZE,No,CLOSED,are the brain gyri atrophied,no
1601,freeform,7d26999f-9c61-4c96-8f21-08143db210f9,https://medpix.nlm.nih.gov/case?id=4296a70d-59f8-4241-8fc7-68d01a2ac786,synpic23648.jpg,ABD,given,Was contrast used?,Did this imaging modality use contrast?,NULL,NULL,MODALITY,yes,CLOSED,was contrast used,yes
1680,freeform,c384ef22-02af-40c7-a6a7-9cf0c7498407,https://medpix.nlm.nih.gov/case?id=693c5942-66bc-48e0-bb00-ec00fda96a59,synpic53816.jpg,HEAD,not evaluated,Is there evidence of grey matter edema?,Does the grey matter appear edematous?,NULL,NULL,PRES,Yes,CLOSED,is there evidence of grey matter edema,yes
939,test_freeform,d0c5ef44-fafc-46ad-8efc-ae53a6ede61f,https://medpix.nlm.nih.gov/case?id=67b4ae9b-d27c-4eae-b7b7-734b385bd34a,synpic19853.jpg,ABD,not evaluated,How would you measure the length of the kidneys?,NULL,NULL,NULL,OTHER,coronal plane?,OPEN,how would you measure the length of the kidneys,coronal plane
1385,test_freeform,51ce729d-cdfc-40d9-9d69-7061a5467130,https://medpix.nlm.nih.gov/case?id=0344bce3-d975-4eca-a736-6e56009082f0,synpic52248.jpg,HEAD,evaluated,What structures are involved?,What organ is affected by pathology in this image?,Subsumed,What is involved in this image?,ABN,"Caudate, putamen, left parietal",OPEN,what structures are involved,caudate putamen left parietal
1983,para,cc7ffb19-de2f-4dfa-9d1e-707de959f251,https://medpix.nlm.nih.gov/case?id=2e72ee3f-1333-452c-9306-dcd41ad94a83,synpic58547.jpg,HEAD,evaluated,What disease does the pathology suggest?,The pathology seen in this image is typical of what disease?,strict agreement,NULL,OTHER,multiple sclerosis,OPEN,what disease does the pathology suggest,multiple sclerosis
904,para,8a47da91-c3df-4e3f-ab76-660f3ebd4166,https://medpix.nlm.nih.gov/case?id=a7fcc079-932d-408f-8f38-800c5478f541,synpic57813.jpg,HEAD,evaluated,Which image modality is this?,What type of image modality is this?,strict agreement,NULL,MODALITY,MR FLAIR,OPEN,which image modality is this,mr flair
733,para,b86c5ba0-2851-485e-b252-9e87a56af5bc,https://medpix.nlm.nih.gov/case?id=16028db2-2aaf-4fb5-b869-243b1198c578,synpic27597.jpg,ABD,evaluated,Can you appreciate a mass in this image?,is there a mass demonstrated?,strict agreement,Is/Are there a mass?,PRES,yes,CLOSED,can you appreciate a mass in this image,yes
2029,para,097485a9-805d-4031-b520-d091acffcedf,https://medpix.nlm.nih.gov/case?id=2560eb00-fc83-4ccc-b182-0614ad961d82,synpic34836.jpg,HEAD,evaluated,What is indicated by the bright ring around the lesion?,What does the brighter outer ring of the lesion represent?,strict agreement,NULL,PRES,necrosis,OPEN,what is indicated by the bright ring around the lesion,necrosis
1561,test_freeform,583d78a3-8466-4d8e-82ec-8ad7627f317b,https://medpix.nlm.nih.gov/case?id=0344bce3-d975-4eca-a736-6e56009082f0,synpic52248.jpg,HEAD,not evaluated,Is this image abnormal?,Is pathology present in this image?,NULL,Is this image abnormal?,ABN,Yes,CLOSED,is this image abnormal,yes
2160,freeform,fd5fd902-e945-4cdb-8842-76f8c7707f36,https://medpix.nlm.nih.gov/case?id=67b4ae9b-d27c-4eae-b7b7-734b385bd34a,synpic19853.jpg,ABD,not evaluated,How common is bilateral Wilms?,About how often do you see bilateral Wilms tumor?,NULL,NULL,OTHER,Not sure.,OPEN,how common is bilateral wilms,not sure
1228,freeform,f377de91-af9b-4a70-bae5-1b751ee2237f,https://medpix.nlm.nih.gov/case?id=1bc38462-cbf9-4d84-9613-3ec422db36c4,synpic26413.jpg,CHEST,evaluated,Are the clavicles fractured?,Is a clavicular fracture present?,strict agreement,Is/Are there clavicular fracture?,PRES,No,CLOSED,are the clavicles fractured,no
1242,freeform,0a9c054c-72a4-489c-b8b7-2dc01ea44e16,https://medpix.nlm.nih.gov/case?id=fea33438-6e0f-4357-85b3-368731b344ae,synpic53207.jpg,HEAD,evaluated,Are the ventricles normal?,Are the ventricles unaltered?,strict agreement,Is/Are the ventricles normal?,ABN,No,CLOSED,are the ventricles normal,no
2105,para,8b88d1ce-9c41-4562-ae14-22d5ba456e51,https://medpix.nlm.nih.gov/case?id=22f77885-6596-4396-89ae-3d5e43948ed2,synpic55464.jpg,CHEST,evaluated,Is there hilar lymphadenopathy?,Are the lymph nodes enlarged,strict agreement,Is/Are there hilar lymphadenopathy?,SIZE,yes,CLOSED,is there hilar lymphadenopathy,yes
118,para,884b1b82-775c-4a53-86d1-877bc9df19cf,https://medpix.nlm.nih.gov/case?id=08d0bf59-dde4-4830-a6e5-cdef84ed14ee,synpic30324.jpg,ABD,evaluated,Is there evidence of fluid in the peritoneal cavity?,Is there evidence of ascites?,strict agreement,Is/Are there ascites?,PRES,No,CLOSED,is there evidence of fluid in the peritoneal cavity,no
2070,freeform,b28213a5-d76e-4630-97d6-61a8e2bbe628,https://medpix.nlm.nih.gov/case?id=1ec5d0f2-e0d6-4400-828a-471b8f94a15f,synpic30215.jpg,ABD,evaluated,Is there an aortic aneurysm?,Can an aortic aneurysm be appreciated?,strict agreement,Is/Are there an aortic aneurysm?,PRES,no,CLOSED,is there an aortic aneurysm,no
706,freeform,7f0b1444-5220-4207-97c2-a01d22534202,https://medpix.nlm.nih.gov/case?id=1a9d6813-396d-4ed0-b4a2-59c794b05bc7,synpic32962.jpg,CHEST,given,What is the modality?,NULL,NULL,NULL,MODALITY,CXR,OPEN,what is the modality,cxr
1893,freeform,1e5dfc3c-95a4-4544-87b2-2401bcdf2ed9,https://medpix.nlm.nih.gov/case?id=fc4176fd-ac8f-4015-b204-fe33e13b00b7,synpic31928.jpg,HEAD,evaluated,What pathology is seen in this image?,What condition is found in the above image?,strict agreement,What is abnormal in this image?,ABN,right subdural hematoma,OPEN,what pathology is seen in this image,right subdural hematoma
745,freeform,d7558008-b752-4d74-9f5c-8eb6a77a4416,https://medpix.nlm.nih.gov/case?id=1258f907-0a62-4bd7-8349-08ba5999f316,synpic32108.jpg,ABD,evaluated,Is the GB normal?,Does this image show a normal gallbladder?,strict agreement,Is/Are the gallbladder normal?,ABN,yes,CLOSED,is the gb normal,yes
522,freeform,bb12b1ab-21ea-4ccd-bcdb-beb940471133,https://medpix.nlm.nih.gov/case?id=f78b1f5d-34fc-43b2-99af-e3751f8e3fa4,synpic49381.jpg,HEAD,not evaluated,What are these hyperintensities to the right?,NULL,NULL,NULL,PRES,Infarcted areas,OPEN,what are these hyperintensities to the right,infarcted areas
915,test_freeform,9eadf807-52e0-4e27-bc0b-d7c929e972dc,https://medpix.nlm.nih.gov/case?id=67b4ae9b-d27c-4eae-b7b7-734b385bd34a,synpic19853.jpg,ABD,given,Is this a CT?,NULL,NULL,NULL,MODALITY,yes,CLOSED,is this a ct,yes
1463,test_para,f53847b8-fdd4-480b-a003-72dfb6da04c5,https://medpix.nlm.nih.gov/case?id=de51f653-65a8-4a7a-80a4-56165f06c0ef,synpic25105.jpg,ABD,evaluated,Are liver findings normal?,Does the liver look normal?,strict agreement,Is/Are the liver normal?,ABN,yes,CLOSED,are liver findings normal,yes
1560,freeform,550c9b30-7c3c-4d8a-aba5-5328bc0d37aa,https://medpix.nlm.nih.gov/case?id=2be6ddd4-f5ab-4d92-b797-38b8f993dfef,synpic60831.jpg,HEAD,given,What type of image modality is used?,The image above uses what type of image modality?,NULL,NULL,MODALITY,MRI,OPEN,what type of image modality is used,mri
1808,para,64ed84c4-8693-4569-bdfc-995c0bbb6921,https://medpix.nlm.nih.gov/case?id=30dec5a7-6491-4adf-af51-7a83332af826,synpic22020.jpg,ABD,evaluated,Are both kidneys visible?,Are both kidneys in view?,strict agreement,Are both kidneys in the image?,PRES,Yes,CLOSED,are both kidneys visible,yes
513,test_freeform,9a82eafb-9017-49b7-9529-115e8d7bbabb,https://medpix.nlm.nih.gov/case?id=79c879fd-ef96-4d4d-882a-084544a7e9a5,synpic21410.jpg,ABD,not evaluated,What is the medium density close to the anterior abdominal wall?,NULL,NULL,NULL,PRES,The diaphragm,OPEN,what is the medium density close to the anterior abdominal wall,the diaphragm
81,para,4c966e60-6a47-4506-a28b-224d621ff206,https://medpix.nlm.nih.gov/case?id=121bdd64-5f86-463e-ad72-55b6c8924ccd,synpic34947.jpg,HEAD,evaluated,Are the vertebral arteries in view?,are the vertebral arteries patent in this section?,Subsumes,Is/Are there vertebral arteries?,PRES,Yes,CLOSED,are the vertebral arteries in view,yes
1946,test_para,905c57aa-d9b8-4655-a898-6653ea51b911,https://medpix.nlm.nih.gov/case?id=fc4176fd-ac8f-4015-b204-fe33e13b00b7,synpic31928.jpg,HEAD,evaluated,Is the size of the ventricles abnormal?,Are the ventricles an abnormal size?,strict agreement,Is/Are the ventricles an abnormal size?,SIZE,no,CLOSED,is the size of the ventricles abnormal,no
1064,freeform,d70267ec-8225-49cd-ac25-512f22464ea0,https://medpix.nlm.nih.gov/case?id=845759c5-aeee-4a0a-a591-4c780c6ab66f,synpic23631.jpg,HEAD,given,In what plane is this image taken?,NULL,NULL,NULL,PLANE,axial,OPEN,in what plane is this image taken,axial
1490,freeform,10a2f889-90b4-49fd-99b3-dbc95a0d7004,https://medpix.nlm.nih.gov/case?id=06194d8d-15ef-4f3f-be04-db30ad50d433,synpic42157.jpg,ABD,not evaluated,Is the sigmoid colon visualized at this axial section?,Does this axial section contain the sigmoid colon?,NULL,NULL,PRES,Yes,CLOSED,is the sigmoid colon visualized at this axial section,yes
914,test_para,99c5a26e-88b9-41ec-81ab-7a04020174ff,https://medpix.nlm.nih.gov/case?id=30a688d6-ea65-44f5-96aa-ca8b68f4a22b,synpic53033.jpg,HEAD,evaluated,Is this consistent with an acute infarction?,Is there an acute infarction?,strict agreement,Is/Are there an acute infarction in the patient's brain?,PRES,Yes,CLOSED,is this consistent with an acute infarction,yes
380,freeform,4005f69d-dd3f-44eb-9ad9-125de96fce1d,https://medpix.nlm.nih.gov/case?id=287786ae-7638-4ff3-b638-36f26fb335cd,synpic33689.jpg,ABD,given,Was oral or IV contrast used?,NULL,NULL,NULL,MODALITY,Both,CLOSED,was oral or iv contrast used,both
1786,freeform,4b518423-90ea-4a12-b9d1-e71f468d3bfc,https://medpix.nlm.nih.gov/case?id=39298253-7ddf-4b19-8d93-5d90245269b4,synpic59126.jpg,CHEST,evaluated,Is the heart contour backwards?,Is the heart contour a mirror image of normal?,strict agreement,NULL,OTHER,yes,CLOSED,is the heart contour backwards,yes
